Rainfall,SoilSaturation,RiverLevel,Drainage,InfrastructureAge,PopulationDensity,WindSpeed,TransformerLoad,SanitationLevel,Flood,Landslide,Bridge_Collapse,Water_Borne_Disease,Power_Grid_Failure,Road_Blockage,Delayed_Rescue,CommunicationFailure
High,High,High,Poor,Old,Dense,High,High,Poor,Yes,Yes,Yes,Yes,Yes,Yes,High,Yes
High,High,High,Poor,Old,VeryDense,High,High,Poor,Yes,Yes,Moderate,Yes,Yes,Yes,High,Yes
High,High,High,Poor,New,Sparse,High,Moderate,Moderate,Yes,No,No,Moderate,Moderate,No,Low,Moderate
Low,Low,Low,Efficient,New,Sparse,Low,Low,Good,No,No,No,No,No,No,Low,No
Moderate,Moderate,Moderate,Moderate,Old,Dense,Moderate,Moderate,Poor,Yes,Moderate,Moderate,Yes,Moderate,Moderate,Moderate,Moderate
High,High,Moderate,Poor,Old,Dense,High,High,Moderate,Yes,No,No,No,Yes,No,Low,Yes
High,High,High,Poor,Old,VeryDense,High,High,Poor,Yes,Yes,Yes,Yes,Yes,Yes,High,Yes
Moderate,Moderate,Moderate,Moderate,New,Sparse,Moderate,Moderate,Good,Moderate,No,Yes,Moderate,Moderate,No,Low,Moderate
Low,Low,Low,Efficient,New,Sparse,Low,Low,Good,No,No,No,No,No,No,Low,No
High,High,High,Poor,Old,Dense,High,High,Poor,Yes,Yes,Yes,Yes,Yes,Yes,High,Yes
Moderate,Low,Low,Efficient,New,Dense,Moderate,Low,Moderate,No,No,No,Yes,No,No,Low,No
High,High,High,Poor,Old,VeryDense,High,High,Poor,Yes,Yes,Yes,Yes,Yes,Yes,High,Yes
Low,Low,Low,Moderate,New,Sparse,Low,Low,Good,No,No,No,No,No,No,Low,No
Moderate,Moderate,Moderate,Moderate,Old,Dense,Moderate,Moderate,Moderate,Moderate,Moderate,No,Yes,Moderate,Moderate,Moderate,Moderate
High,High,Moderate,Poor,Old,Dense,High,High,Poor,Yes,No,Moderate,Yes,Yes,No,Low,Yes
High,High,High,Poor,Old,Dense,High,High,Poor,Yes,Yes,Yes,Yes,Yes,Yes,High,Yes
Low,Low,Low,Efficient,Old,Sparse,Low,Low,Good,No,No,No,No,No,No,Low,No
Moderate,Low,Low,Moderate,New,Sparse,Moderate,Low,Good,No,No,No,Moderate,No,No,Low,No
High,High,High,Poor,Old,VeryDense,High,High,Poor,Yes,Yes,Yes,Yes,Yes,Yes,High,Yes
High,High,Moderate,Poor,New,Dense,High,Moderate,Moderate,Yes,Moderate,Moderate,Yes,Moderate,Moderate,Moderate,Moderate
Low,Moderate,Low,Efficient,Old,Sparse,Low,Low,Good,No,No,No,No,No,No,Low,No
High,High,High,Poor,Old,Dense,High,High,Poor,Yes,Yes,Yes,Yes,Yes,Yes,High,Yes
Moderate,Low,Low,Moderate,Old,Dense,Moderate,Low,Moderate,Moderate,No,No,Yes,No,No,Low,No
Low,Moderate,Moderate,Efficient,New,Dense,Low,Moderate,Good,No,No,No,Yes,No,No,Low,No
Moderate,Low,Low,Moderate,Old,Sparse,Moderate,Low,Good,No,No,No,Moderate,Moderate,No,Low,Moderate
High,High,High,Poor,Old,Dense,High,High,Poor,Yes,Yes,Yes,Yes,Yes,Yes,High,Yes
High,Moderate,High,Poor,Old,Dense,High,High,Poor,Yes,No,No,Yes,Yes,No,Low,Yes
Low,Low,Low,Efficient,New,Sparse,Low,Low,Good,No,No,No,No,No,No,Low,No
High,High,High,Poor,Old,Dense,High,High,Poor,Yes,Yes,Yes,Yes,Yes,Yes,High,Yes
High,High,Moderate,Poor,Old,VeryDense,High,High,Poor,Yes,Yes,Yes,Yes,Yes,Yes,High,Yes
